caseid_new,xw6_marry,pp6_ppage,pp6_ppagecat,pp6_ppagect4,pp6_ppeduc,pp6_ppeducat,pp6_ppethm,pp6_ppgender,pp6_pphhhead,pp6_pphhsize,pp6_pphouse,pp6_ppincimp,pp6_ppmarit,pp6_ppmsacat,pp6_PPREG4,pp6_ppreg9,pp6_pprent,pp6_PPT01,pp6_PPT25,pp6_PPT612,pp6_PPT1317,pp6_PPT18OV,pp6_ppwork,w6_relate_status
22526,unmarried partners,60,55-64,60+,Bachelors degree,Bachelor's degree or higher,Hispanic,Female,Yes,2,A building with 2 or more apartments,"$12,500 to $14,999",Widowed,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,2,Not working - retired,unmarried still together
28536,unmarried partners,62,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Living with partner,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,unmarried still together
29584,married,66,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,No,2,A one-family house detached from any other house,"$200,000 to $249,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,"was married, remained married"
48225,married,31,25-34,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,1,A building with 2 or more apartments,"$100,000 to $124,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,"was married, remained married"
49731,married,81,75+,60+,7th or 8th grade,Less than high school,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$25,000 to $29,999",Married,Non-Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married"
58295,married,37,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"2+ Races, Non-Hispanic",Female,Yes,3,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,1,0,0,2,Working - as a paid employee,"was married, remained married"
64331,married,42,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Male,Yes,3,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,1,0,2,Working - as a paid employee,"was married, remained married"
68546,married,62,55-64,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,2,A one-family house attached to one or more houses,"$125,000 to $149,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,"was married, remained married"
83431,married,52,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,3,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,"was married, remained married"
103545,unmarried partners,63,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,1,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,unmarried still together
114276,married,35,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,2,0,0,2,Working - as a paid employee,"was married, remained married"
117401,married,48,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,"was married, remained married"
126231,married,31,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,1,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,"was married, remained married"
128441,married,53,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$200,000 to $249,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,was married but no longer married
134275,married,36,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,2,A building with 2 or more apartments,"$25,000 to $29,999",Married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Not working - retired,"was married, remained married"
155561,married,65,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$25,000 to $29,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married"
156486,unmarried partners,66,65-74,60+,Associate degree,Some college,"2+ Races, Non-Hispanic",Female,No,2,A one-family house detached from any other house,"$35,000 to $39,999",Living with partner,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,unmarried still together
157421,married,51,45-54,45-59,"Some college, no degree",Some college,"2+ Races, Non-Hispanic",Male,Yes,3,A one-family house detached from any other house,"$40,000 to $49,999",Married,Non-Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - retired,"was married, remained married"
163195,married,28,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"Other, Non-Hispanic",Male,Yes,2,A one-family house attached to one or more houses,"$75,000 to $84,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,"was married, remained married"
