caseid_new,irb_consent,weight3,weight4,weight5,weight6,weight7,weight_couples_coresident,HCMST_main_interview_yrmo,duration,qflag,glbstatus,papglb_status,recsource,s1,s1a,s2,q3_codes,q4,q5,q6a,q6b,q7a,q7b,q8a,q8b,q9,q10,q11,q12,q13a,q13b,q14,q15a1_compressed,q16,q17a,q17b,q17c,q17d,gender_attraction,q18a_1,q18a_2,q18a_3,q18a_refused,q18b_codes,q18c_codes,q19,q20,q21a,q21a_refusal,q21b,q21b_refusal,q21c,q21c_refusal,q21d,q21d_refusal,q21e,q21e_refusal,q22,q23,q24_codes,q25,q26,q27,q28,q29,q30,q31_1,q31_2,q31_3,q31_4,q31_5,q31_6,q31_7,q31_8,q31_9,q31_other_text_entered,q32,q33_1,q33_2,q33_3,q33_4,q33_5,q33_6,q33_7,q33_other_text_entered,q34,q35_codes,q35_text_entered,q24_met_online,summary_q24_total,q24_R_cowork,q24_R_friend,q24_R_family,q24_R_sig_other,q24_R_neighbor,q24_P_cowork,q24_P_friend,q24_P_family,q24_P_sig_other,q24_P_neighbor,q24_btwn_I_cowork,q24_btwn_I_friend,q24_btwn_I_family,q24_btwn_I_sig_other,q24_btwn_I_neighbor,q24_school,q24_college,q24_military,q24_church,q24_vol_org,q24_customer,q24_bar_restaurant,q24_internet_dating,q24_internet_social_networking,q24_internet_game,q24_internet_chat,q24_internet_community,q24_internet_other,q24_public,q24_private_party,q24_blind_date,q24_vacation,q24_singles_service_non_internet,q24_business_trip,q24_work_neighbor,q24_fam_sister_active,q24_fam_brother_active,q24_fam_mother_active,q24_fam_father_active,q24_fam_other_active,q24_fam_cousins_active,q24_fam_aunt_niece_active,q24_fam_uncle_nephew_active,q24_fam_grandmother_active,q24_fam_grandfather_active,q24_fam_sister_passive,q24_fam_brother_passive,q24_fam_mother_passive,q24_fam_father_passive,q24_fam_other_passive,q24_fam_cousins_passive,q24_fam_aunt_niece_passive,q24_fam_uncle_nephew_passive,q24_fam_grandmother_passive,q24_fam_grandfather_passive,q24_fam_female,q24_fam_male,distancemoved_10mi,marrynotreally,marrycountry,civilnotreally,partner_deceased,partner_religion_reclassified,partner_religion_child_reclass,own_religion_child_reclass,q32_internet,how_met_online,either_internet,either_internet_adjusted,same_sex_couple,potential_partner_gender_recodes,alt_partner_gender,how_long_ago_first_met,how_long_ago_first_romantic,how_long_ago_first_cohab,how_long_ago_first_met_cat,how_long_relationship,respondent_race,partner_race,age_difference,met_through_friends,met_through_family,met_through_as_neighbors,met_through_as_coworkers,respondent_religion_at_16,respondent_relig_16_cat,partner_religion_at_16,partner_relig_16_cat,married,parental_approval,respondent_yrsed,partner_yrsed,home_country_recode,US_raised,partner_mom_yrsed,respondent_mom_yrsed,relationship_quality,coresident
22526,"yes, i agree to participate",4265.0,5618,7505.0,3576.0,3576.0,634.3542,200902.0,20,partnered,glb,yes,glb augment sample,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",,female,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)","yes, the same",,48.0,associate degree,hs graduate or ged,democrat,"no, i have changed religions","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",bachelor's degree,United States,0.0,,once,"i am mostly sexually attracted to women, less often sexually attracted to men",,same gender mostly,no,no,have neither DP nor CU,no,,,yes,,45.0,,45.0,,45.0,,,,,,,partner earned more,,different high school,did not attend same college or university,no,no,neither father nor mother are alive,,no,no,no,yes,no,no,no,no,no,No,"yes, a different kind of internet service",refused,refused,refused,refused,refused,refused,refused,No,good,,Yes,met online,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10.0,,,,not deceased,,,,1.0,Previously Strangers: Before online connection respondent and partner were strangers,Yes,met online,same-sex couple,,female,7.0,7.0,7.0,6-10,7.0,Hispanic,NH white,4.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",Protestant or oth Christian,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",Protestant or oth Christian,not married,,16.0,14.0,,raised in US,12.0,16.0,good,Yes
23286,"yes, i agree to participate",16485.0,8383,11198.0,10241.0,10241.0,9589.905999999999,200902.0,13,partnered,glb,yes,glb augment sample,"yes, i am married",,,,female,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"no, has changed religions",other christian,30.0,bachelor's degree,bachelor's degree,democrat,"no, i have changed religions",jewish,professional or doctorate degree,United States,0.0,once (this is my first marriage),,i am equally sexually attracted to men and women,,both genders equally,yes,no,have either DP or CU,no,,,yes,,19.0,,20.0,,22.0,,23.0,,26.0,,,i earned more,,different high school,attended same college or university,no,no,father and mother,disapprove,no,yes,no,no,no,no,no,no,no,No,"no, we did not meet through the internet",no,no,no,yes,no,no,no,No,good,,Yes,met offline,4.0,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2510.0,married,USA,real civ union or dom partnership,not deceased,,,,0.0,,No,not met online,same-sex couple,,female,9.0,8.0,6.0,6-10,8.0,NH white,NH white,2.0,meet through friends,not met through family,met through or as neighbors,0.0,jewish,Jewish,other christian,Protestant or oth Christian,married,don't approve or don't know,17.0,16.0,,raised in US,16.0,20.0,good,Yes
26315,"yes, i agree to participate",4575.0,8656,11562.0,10270.0,10270.0,,200902.0,9,partnered,glb,yes,glb augment sample,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",,male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"other non-christian, please specify","no, has changed religions",none,40.0,hs graduate or ged,hs graduate or ged,democrat,"yes, the same",,bachelor's degree,United States,1.0,,never married,,i am sexually attracted only to men,only same gender,no,no,have neither DP nor CU,no,,,no,yes,23.0,,23.0,,23.0,,,,,,,i earned more,,different high school,,no,no,father and mother,approve,no,no,no,no,no,no,no,no,yes,Yes,"no, we did not meet through the internet",no,yes,no,no,no,no,no,No,good,,Yes,met online,3.0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1790.0,,,,not deceased,"other non-christian, please specify",,,0.0,"Mediated: Online connection was mediated by friends, family, or others",Yes,met online,same-sex couple,,male,8.0,8.0,8.0,6-10,8.0,NH white,NH white,9.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,"other non-christian, please specify",Neither Christian nor Jewish,none,No religion,not married,approve,14.0,12.0,,raised in US,12.0,16.0,good,No
28536,"yes, i agree to participate",1924.0,1748,2335.0,1517.0,1517.0,1280.0372,200902.0,8,partnered,glb,yes,glb augment sample,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",,male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"no, has changed religions",baptist - any denomination,55.0,master's degree,"some college, no degree",democrat,"yes, the same",,master's degree,United States,1.0,,never married,,"i am mostly sexually attracted to men, less often sexually attracted to women",same gender mostly,no,no,have neither DP nor CU,no,,,yes,,41.0,,41.0,,41.0,,,,,,,i earned more,,different high school,did not attend same college or university,no,no,mother only,approve,no,no,no,no,no,no,no,no,yes,Yes,"no, we did not meet through the internet",no,no,no,no,no,no,yes,Yes,good,,Yes,met offline,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60.0,,,,not deceased,,,,0.0,,No,not met online,same-sex couple,,male,12.0,12.0,12.0,11-15,12.0,NH white,NH white,2.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",Protestant or oth Christian,baptist - any denomination,Protestant or oth Christian,not married,approve,16.0,17.0,,raised in US,13.0,17.0,good,Yes
29584,"yes, i agree to participate",3173.0,2812,3756.0,2630.0,2630.0,,200902.0,9,partnered,glb,yes,glb augment sample,"yes, i am married",,,,female,"no, we are an opposite-sex couple",no (not latino or hispanic),white,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)","no, has changed religions",catholic,51.0,master's degree,"some college, no degree",democrat,"yes, the same",,"some college, no degree",United States,0.0,once (this is my first marriage),,,"i am mostly sexually attracted to men, less often sexually attracted to women",same gender mostly,,,,,,,no,yes,28.0,,28.0,,30.0,,30.0,,,,,partner earned more,,different high school,did not attend same college or university,no,no,father only,approve,yes,no,no,no,no,no,no,no,no,No,"no, we did not meet through the internet",no,no,yes,no,no,no,no,No,good,,Yes,met offline,2.0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,220.0,,,,not deceased,,,,0.0,,No,not met online,different sex couple,,female,30.0,30.0,28.0,21-30,30.0,NH white,NH white,7.0,not met through friends,not met through family,did not meet through or as neighbors,1.0,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",Protestant or oth Christian,catholic,Catholic,married,approve,17.0,17.0,,raised in US,13.0,13.0,good,No
31456,"yes, i agree to participate",1021.0,1119,1494.0,1171.0,1171.0,679.9366,200902.0,8730,partnered,glb,yes,glb augment sample,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",,male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,baptist - any denomination,"yes, the same",,45.0,bachelor's degree,hs graduate or ged,independent,"no, i have changed religions",baptist - any denomination,hs graduate or ged,United States,8.0,,never married,,i am sexually attracted only to men,only same gender,no,no,have neither DP nor CU,no,,,yes,,42.0,,42.0,,42.0,,,,,,3 years or more,partner earned more,,different high school,did not attend same college or university,no,no,mother only,approve,no,no,no,yes,no,no,no,no,no,No,"yes, a different kind of internet service",no,no,no,no,no,yes,no,No,excellent,,Yes,met online,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.0,,,,not deceased,,,,1.0,Previously Strangers: Before online connection respondent and partner were strangers,Yes,met online,same-sex couple,,male,3.0,3.0,3.0,3-5,4.0,NH white,NH white,0.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,baptist - any denomination,Protestant or oth Christian,baptist - any denomination,Protestant or oth Christian,not married,approve,13.0,16.0,,raised in US,12.0,12.0,excellent,Yes
32656,"yes, i agree to participate",2189.0,2513,3357.0,1873.0,1873.0,1273.923,200902.0,15,partnered,glb,yes,glb augment sample,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",,female,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"no, has changed religions",catholic,65.0,master's degree,10th grade,democrat,"no, i have changed religions",catholic,10th grade,United States,0.0,,never married,i am sexually attracted only to women,,only same gender,yes,no,have either DP or CU,no,,,yes,,36.0,,38.0,,39.0,,,,63.0,,,partner earned more,,different high school,did not attend same college or university,no,no,neither father nor mother are alive,,no,no,no,no,no,no,no,no,yes,Yes,"no, we did not meet through the internet",no,yes,no,no,no,no,no,No,excellent,,Yes,met offline,4.0,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60.0,,,real civ union or dom partnership,not deceased,,,,0.0,,No,not met online,same-sex couple,,female,29.0,27.0,26.0,21-30,27.0,NH white,NH white,0.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,catholic,Catholic,catholic,Catholic,not married,,17.0,17.0,,raised in US,10.0,10.0,excellent,Yes
33536,"yes, i agree to participate",3190.0,2954,3946.0,3177.0,3177.0,4520.8679999999995,200902.0,12,partnered,glb,yes,glb augment sample,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",,male,"yes, we are a same-sex couple",no (not latino or hispanic),black or african american,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)","yes, the same",,44.0,master's degree,hs graduate or ged,democrat,"yes, the same",,bachelor's degree,United States,0.0,,never married,,i am sexually attracted only to men,only same gender,no,no,have neither DP nor CU,no,,,yes,,38.0,,38.0,,38.0,,,,,,,we earned about the same amount,,different high school,did not attend same college or university,no,no,father and mother,approve,no,no,no,no,no,yes,no,no,no,No,"no, we did not meet through the internet",no,no,no,no,no,yes,no,No,excellent,,Yes,met offline,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1950.0,,,,not deceased,,,,0.0,,No,not met online,same-sex couple,,male,15.0,15.0,15.0,11-15,15.0,NH white, NH black,9.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",Protestant or oth Christian,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",Protestant or oth Christian,not married,approve,20.0,17.0,,raised in US,12.0,16.0,excellent,Yes
34341,"yes, i agree to participate",4924.0,9149,12221.0,9021.0,9021.0,2575.4983,200902.0,24,partnered,glb,yes,glb augment sample,"yes, i am married",,,,male,"no, we are an opposite-sex couple",no (not latino or hispanic),white,no,"other non-christian, please specify","no, has changed religions","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",34.0,bachelor's degree,master's degree,independent,"no, i have changed religions",none,associate degree,United States,0.0,once (this is my first marriage),,"i am mostly sexually attracted to men, less often sexually attracted to women",,mostly opposite,,,,,,,yes,,18.0,,20.0,,22.0,,23.0,,,,,i earned more,,different high school,attended same college or university,no,no,father and mother,approve,no,yes,no,no,no,no,no,no,no,No,"no, we did not meet through the internet",no,yes,no,no,no,no,no,No,excellent,,Yes,met offline,6.0,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2230.0,,,,not deceased,"other non-christian, please specify",,none,0.0,,No,not met online,different sex couple,,male,16.0,14.0,12.0,16-20,14.0,NH white,NH white,0.0,meet through friends,not met through family,met through or as neighbors,0.0,none,No religion,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",Protestant or oth Christian,married,approve,16.0,16.0,,raised in US,17.0,14.0,excellent,Yes
35653,"yes, i agree to participate",2303.0,2377,3175.0,2016.0,2016.0,,200902.0,9,partnered,glb,yes,glb augment sample,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",,male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"other non-christian, please specify","no, has changed religions",catholic,50.0,"some college, no degree",hs graduate or ged,democrat,"no, i have changed religions",catholic,12th grade no diploma,United States,0.0,,never married,,i am sexually attracted only to men,only same gender,no,no,have neither DP nor CU,no,,,no,no,51.0,,51.0,,,,,,,,,partner earned more,,different high school,did not attend same college or university,no,no,neither father nor mother are alive,,no,no,no,yes,no,no,no,no,no,No,"yes, an internet dating or matchmaking site (like eharmony or match.com)",no,no,no,no,no,yes,no,No,excellent,,Yes,met online,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10.0,,,,not deceased,"other non-christian, please specify",,,1.0,Previously Strangers: Before online connection respondent and partner were strangers,Yes,met online,same-sex couple,,male,14.0,14.0,,11-15,14.0,NH white,NH white,15.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,catholic,Catholic,catholic,Catholic,not married,,17.0,13.0,,raised in US,12.0,12.0,excellent,No
