caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,breakup_year_combo,breakup_month_combo,got_married?_new
22526,22526_3,qualified,yes,201104.0,still together,,,no
23286,23286_3,qualified,yes,201104.0,still together,,,
26315,26315_3,disqualified,,,,,,
28536,28536_3,qualified,yes,201104.0,still together,,,no
29584,29584_3,qualified,yes,201104.0,still together,,,
31456,31456_3,qualified,no,,,,,
32656,32656_3,qualified,yes,201106.0,still together,,,no
33536,33536_3,qualified,yes,201104.0,still together,,,no
34341,34341_3,qualified,yes,201104.0,still together,,,
35653,35653_3,disqualified,,,,,,
36493,36493_3,disqualified,,,,,,
38895,38895_3,qualified,yes,201104.0,still together,,,no
40335,40335_3,disqualified,,,,,,
41505,41505_3,disqualified,,,,,,
43381,43381_3,qualified,yes,201104.0,still together,,,
44486,44486_3,qualified,yes,201104.0,still together,,,
46746,46746_3,qualified,yes,201104.0,still together,,,
48225,48225_3,qualified,yes,201104.0,still together,,,yes
49731,49731_3,qualified,yes,201104.0,still together,,,
51376,51376_3,qualified,yes,201104.0,broke up,2011.0,February,
54415,54415_3,disqualified,,,,,,
55365,55365_3,qualified,yes,201103.0,broke up,2011.0,February,
55686,55686_3,qualified,no,,,,,
56536,56536_3,qualified,yes,201104.0,still together,,,no
58295,58295_3,qualified,yes,201104.0,still together,,,yes
60743,60743_3,disqualified,,,,,,
62283,62283_3,disqualified,,,,,,
64331,64331_3,qualified,yes,201104.0,still together,,,
65446,65446_3,disqualified,,,,,,
66484,66484_3,disqualified,,,,,,
68546,68546_3,qualified,yes,201104.0,still together,,,
69311,69311_3,qualified,yes,201104.0,still together,,,
72515,72515_3,disqualified,,,,,,
73603,73603_3,disqualified,,,,,,
75621,75621_3,qualified,no,,,,,
77256,77256_3,qualified,yes,201104.0,still together,,,
78351,78351_3,qualified,yes,201104.0,still together,,,
79731,79731_3,qualified,yes,201104.0,still together,,,
80656,80656_3,qualified,yes,201104.0,still together,,,no
81286,81286_3,qualified,yes,201104.0,still together,,,
82431,82431_3,qualified,no,,,,,
83431,83431_3,qualified,yes,201104.0,still together,,,
85281,85281_3,qualified,yes,201104.0,still together,,,
86591,86591_3,qualified,yes,201105.0,still together,,,
89766,89766_3,qualified,no,,,,,
94431,94431_3,qualified,yes,201104.0,still together,,,
95431,95431_3,qualified,yes,201104.0,still together,,,
97195,97195_3,qualified,yes,201104.0,still together,,,no
99611,99611_3,qualified,yes,201104.0,still together,,,
