caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,relationship_quality,attractive_self,attractive_partner,breakup_year_combo,breakup_month_combo,got_married?_new
22526,22526_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,very attractive,,,no
23286,23286_4,qualified,yes,201303.0,still together,,,4.0,very attractive,very attractive,,,
25495,25495_4,disqualified,,,,,,,,,,,
26315,26315_4,disqualified,,,,,,,,,,,
27355,27355_4,disqualified,,,,,,,,,,,
27695,27695_4,disqualified,,,,,,,,,,,
28536,28536_4,qualified,yes,201303.0,still together,,,3.0,moderately attractive,moderately attractive,,,no
29584,29584_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
30393,30393_4,disqualified,,,,,,,,,,,
31456,31456_4,qualified,no,,,,,,,,,,
32656,32656_4,qualified,no,,,,,,,,,,
33536,33536_4,qualified,yes,201303.0,still together,,,4.0,very attractive,very attractive,,,no
34341,34341_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
35653,35653_4,disqualified,,,,,,,,,,,
36493,36493_4,disqualified,,,,,,,,,,,
37656,37656_4,disqualified,,,,,,,,,,,
38895,38895_4,qualified,no,,,,,,,,,,
39415,39415_4,disqualified,,,,,,,,,,,
40335,40335_4,disqualified,,,,,,,,,,,
41505,41505_4,disqualified,,,,,,,,,,,
42645,42645_4,disqualified,,,,,,,,,,,
43381,43381_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,very attractive,,,
44486,44486_4,qualified,yes,201303.0,broke up,,,,moderately attractive,,2012.0,December,
45653,45653_4,disqualified,,,,,,,,,,,
46746,46746_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,moderately attractive,,,
48225,48225_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
49731,49731_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,
50605,50605_4,disqualified,,,,,,,,,,,
51376,51376_4,disqualified,,,,,,,,,,,
53436,53436_4,disqualified,,,,,,,,,,,
54415,54415_4,disqualified,,,,,,,,,,,
55365,55365_4,disqualified,,,,,,,,,,,
55686,55686_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
56536,56536_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,very attractive,,,no
57485,57485_4,disqualified,,,,,,,,,,,
58295,58295_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,slightly attractive,,,
59265,59265_4,disqualified,,,,,,,,,,,
60743,60743_4,disqualified,,,,,,,,,,,
62283,62283_4,disqualified,,,,,,,,,,,
63435,63435_4,disqualified,,,,,,,,,,,
64331,64331_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,
65446,65446_4,disqualified,,,,,,,,,,,
66345,66345_4,disqualified,,,,,,,,,,,
66484,66484_4,disqualified,,,,,,,,,,,
67535,67535_4,disqualified,,,,,,,,,,,
68546,68546_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,moderately attractive,,,
69311,69311_4,qualified,yes,201304.0,still together,,,4.0,moderately attractive,moderately attractive,,,
70603,70603_4,disqualified,,,,,,,,,,,
71523,71523_4,disqualified,,,,,,,,,,,
72515,72515_4,disqualified,,,,,,,,,,,
73603,73603_4,disqualified,,,,,,,,,,,
74415,74415_4,disqualified,,,,,,,,,,,
75621,75621_4,qualified,no,,,,,,,,,,
75685,75685_4,disqualified,,,,,,,,,,,
