caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,breakup_year_combo,breakup_month_combo,got_married?_new
22526,22526_5,qualified,yes,201412.0,still together,,,,,no
23286,23286_5,qualified,yes,201412.0,still together,,,,,
25495,25495_5,disqualified,,,,,,,,
26315,26315_5,disqualified,,,,,,,,
27355,27355_5,disqualified,,,,,,,,
27695,27695_5,disqualified,,,,,,,,
28536,28536_5,qualified,yes,201412.0,still together,,,,,no
29584,29584_5,qualified,yes,201412.0,still together,,,,,
30393,30393_5,disqualified,,,,,,,,
31456,31456_5,qualified,no,,,,,,,
32656,32656_5,qualified,no,,,,,,,
33536,33536_5,qualified,yes,201412.0,broke up,,,2014.0,February,
34341,34341_5,qualified,yes,201412.0,still together,,,,,
35653,35653_5,disqualified,,,,,,,,
36493,36493_5,disqualified,,,,,,,,
37656,37656_5,disqualified,,,,,,,,
38895,38895_5,qualified,no,,,,,,,
39415,39415_5,disqualified,,,,,,,,
40335,40335_5,disqualified,,,,,,,,
41505,41505_5,disqualified,,,,,,,,
42645,42645_5,disqualified,,,,,,,,
43381,43381_5,qualified,no,,,,,,,
44486,44486_5,disqualified,,,,,,,,
45653,45653_5,disqualified,,,,,,,,
46746,46746_5,qualified,yes,201411.0,still together,,,,,
48225,48225_5,qualified,yes,201412.0,still together,,,,,
49731,49731_5,qualified,yes,201412.0,still together,,,,,
50605,50605_5,disqualified,,,,,,,,
51376,51376_5,disqualified,,,,,,,,
53436,53436_5,disqualified,,,,,,,,
54415,54415_5,disqualified,,,,,,,,
55365,55365_5,disqualified,,,,,,,,
55686,55686_5,qualified,no,,,,,,,
56536,56536_5,qualified,yes,201412.0,still together,,,,,no
57485,57485_5,disqualified,,,,,,,,
58295,58295_5,qualified,yes,201412.0,still together,,,,,
59265,59265_5,disqualified,,,,,,,,
60743,60743_5,disqualified,,,,,,,,
62283,62283_5,disqualified,,,,,,,,
63435,63435_5,disqualified,,,,,,,,
64331,64331_5,qualified,yes,201412.0,still together,,,,,
65446,65446_5,disqualified,,,,,,,,
66345,66345_5,disqualified,,,,,,,,
66484,66484_5,disqualified,,,,,,,,
67535,67535_5,disqualified,,,,,,,,
68546,68546_5,qualified,yes,201412.0,still together,,,,,
69311,69311_5,qualified,no,,,,,,,
70603,70603_5,disqualified,,,,,,,,
71523,71523_5,disqualified,,,,,,,,
72515,72515_5,disqualified,,,,,,,,
73603,73603_5,disqualified,,,,,,,,
74415,74415_5,disqualified,,,,,,,,
75621,75621_5,qualified,no,,,,,,,
75685,75685_5,disqualified,,,,,,,,
76832,76832_5,disqualified,,,,,,,,
77256,77256_5,qualified,no,,,,,,,
78351,78351_5,qualified,no,,,,,,,
79405,79405_5,disqualified,,,,,,,,
79731,79731_5,qualified,yes,201501.0,still together,,,,,
80656,80656_5,qualified,no,,,,,,,
81286,81286_5,qualified,yes,201412.0,still together,,,,,
82431,82431_5,qualified,no,,,,,,,
83431,83431_5,qualified,yes,201412.0,still together,,,,,
84485,84485_5,disqualified,,,,,,,,
85281,85281_5,qualified,no,,,,,,,
86591,86591_5,qualified,yes,201502.0,still together,,,,,
88205,88205_5,disqualified,,,,,,,,
89766,89766_5,qualified,yes,201502.0,still together,,,,,no
90315,90315_5,disqualified,,,,,,,,
92625,92625_5,disqualified,,,,,,,,
94431,94431_5,qualified,no,,,,,,,
95431,95431_5,qualified,no,,,,,,,
96335,96335_5,disqualified,,,,,,,,
97195,97195_5,disqualified,,,,,,,,
98306,98306_5,disqualified,,,,,,,,
99611,99611_5,qualified,no,,,,,,,
100331,100331_5,qualified,yes,201412.0,still together,,,,,
101533,101533_5,disqualified,,,,,,,,
102345,102345_5,disqualified,,,,,,,,
103545,103545_5,qualified,yes,201412.0,still together,,,,,no
104565,104565_5,disqualified,,,,,,,,
105515,105515_5,disqualified,,,,,,,,
106296,106296_5,disqualified,,,,,,,,
107255,107255_5,disqualified,,,,,,,,
108381,108381_5,qualified,no,,,,,,,
