,caseid_new,age_when_met,family_size,region,metro,region_midwest,region_northeast,region_south,region_west
0,22526,45.0,0.0,2,1,1,0,0,0
1,23286,19.0,0.0,1,1,0,0,0,1
2,26315,23.0,1.0,0,1,0,0,1,0
3,28536,41.0,1.0,2,1,1,0,0,0
4,29584,28.0,0.0,0,1,0,0,1,0
5,31456,42.0,8.0,0,1,0,0,1,0
6,32656,36.0,0.0,3,1,0,1,0,0
7,33536,38.0,0.0,1,1,0,0,0,1
8,34341,18.0,0.0,2,1,1,0,0,0
9,35653,51.0,0.0,1,1,0,0,0,1
10,36493,49.0,3.0,2,0,1,0,0,0
11,38895,70.0,0.0,1,1,0,0,0,1
12,40335,31.0,0.0,1,1,0,0,0,1
13,41505,50.0,0.0,0,1,0,0,1,0
14,43381,25.0,0.0,3,1,0,1,0,0
15,44486,44.0,2.0,1,1,0,0,0,1
16,46746,31.0,0.0,1,1,0,0,0,1
17,48225,9.0,0.0,2,1,1,0,0,0
18,49731,20.0,3.0,3,0,0,1,0,0
19,51376,34.0,10.0,0,1,0,0,1,0
20,54415,41.0,3.0,1,1,0,0,0,1
21,55365,31.0,3.0,0,1,0,0,1,0
22,55686,56.0,10.0,1,1,0,0,0,1
23,56536,43.0,0.0,1,1,0,0,0,1
24,58295,26.0,0.0,1,1,0,0,0,1
25,60743,73.0,6.0,1,1,0,0,0,1
26,62283,26.0,0.0,2,1,1,0,0,0
27,64331,26.0,3.0,1,1,0,0,0,1
28,65446,43.0,0.0,0,1,0,0,1,0
29,66484,47.0,0.0,0,1,0,0,1,0
30,68546,34.0,7.0,2,1,1,0,0,0
31,69311,25.0,12.0,2,1,1,0,0,0
32,72515,14.0,8.0,2,1,1,0,0,0
33,73603,21.0,6.0,2,1,1,0,0,0
34,75621,33.0,1.0,0,0,0,0,1,0
35,77256,20.0,20.0,2,1,1,0,0,0
36,78351,18.0,2.0,0,1,0,0,1,0
37,79731,46.0,1.0,2,1,1,0,0,0
38,80656,35.0,2.0,3,1,0,1,0,0
39,81286,25.0,7.0,0,1,0,0,1,0
40,82431,17.0,5.0,2,1,1,0,0,0
41,83431,20.0,0.0,0,1,0,0,1,0
42,85281,18.0,4.0,0,0,0,0,1,0
43,86591,40.0,5.0,0,0,0,0,1,0
44,89766,41.0,2.0,0,1,0,0,1,0
45,94431,28.0,0.0,1,1,0,0,0,1
46,95431,18.0,0.0,2,1,1,0,0,0
47,97195,19.0,3.0,2,0,1,0,0,0
48,99611,18.0,0.0,0,1,0,0,1,0
49,100331,21.0,1.0,1,1,0,0,0,1
50,103545,50.0,0.0,2,1,1,0,0,0
51,104565,53.0,0.0,0,1,0,0,1,0
52,106296,20.0,10.0,2,1,1,0,0,0
53,108381,18.0,4.0,1,1,0,0,0,1
54,108501,23.0,0.0,2,0,1,0,0,0
55,110316,24.0,0.0,3,1,0,1,0,0
56,112646,34.0,0.0,1,1,0,0,0,1
57,113235,18.0,4.0,0,1,0,0,1,0
58,114276,21.0,3.0,2,1,1,0,0,0
59,115473,36.0,0.0,1,1,0,0,0,1
60,116271,20.0,3.0,2,1,1,0,0,0
61,117401,24.0,13.0,2,1,1,0,0,0
62,119371,29.0,0.0,0,1,0,0,1,0
63,119663,46.0,0.0,0,1,0,0,1,0
64,120456,24.0,2.0,1,1,0,0,0,1
65,121515,33.0,0.0,3,1,0,1,0,0
66,122441,18.0,10.0,2,0,1,0,0,0
67,125346,28.0,1.0,1,1,0,0,0,1
68,126231,16.0,10.0,2,1,1,0,0,0
69,128441,41.0,0.0,1,1,0,0,0,1
70,130266,25.0,5.0,0,1,0,0,1,0
71,131561,17.0,4.0,0,1,0,0,1,0
72,133521,16.0,1.0,0,1,0,0,1,0
73,134275,25.0,5.0,0,1,0,0,1,0
74,134461,46.0,2.0,2,1,1,0,0,0
75,135736,55.0,0.0,0,1,0,0,1,0
76,136275,26.0,0.0,0,1,0,0,1,0
77,137215,21.0,4.0,1,1,0,0,0,1
78,140511,19.0,7.0,1,1,0,0,0,1
79,142561,14.0,33.0,2,1,1,0,0,0
80,143746,31.0,5.0,2,1,1,0,0,0
81,144545,37.0,1.0,3,1,0,1,0,0
82,145611,20.0,10.0,0,1,0,0,1,0
83,147245,23.0,5.0,3,1,0,1,0,0
84,147525,33.0,0.0,1,1,0,0,0,1
85,150411,33.0,1.0,1,1,0,0,0,1
86,151506,40.0,3.0,0,1,0,0,1,0
87,152762,2.0,5.0,3,1,0,1,0,0
88,154531,24.0,1.0,2,1,1,0,0,0
89,155561,21.0,0.0,0,1,0,0,1,0
90,156486,40.0,0.0,0,1,0,0,1,0
91,157421,31.0,7.0,3,1,0,1,0,0
92,158261,18.0,0.0,1,1,0,0,0,1
93,161715,19.0,5.0,2,1,1,0,0,0
94,162521,23.0,0.0,3,1,0,1,0,0
95,163195,19.0,3.0,1,1,0,0,0,1
96,166381,28.0,2.0,1,1,0,0,0,1
97,167245,18.0,1.0,1,1,0,0,0,1
98,168646,40.0,0.0,0,1,0,0,1,0
99,171391,36.0,10.0,2,1,1,0,0,0
100,172291,15.0,4.0,3,1,0,1,0,0
101,173671,18.0,0.0,1,1,0,0,0,1
102,174603,50.0,6.0,0,1,0,0,1,0
103,176495,47.0,12.0,1,1,0,0,0,1
104,177386,24.0,0.0,0,1,0,0,1,0
105,179461,24.0,0.0,3,1,0,1,0,0
106,180415,24.0,1.0,3,1,0,1,0,0
107,181403,26.0,8.0,2,1,1,0,0,0
108,185405,39.0,1.0,3,1,0,1,0,0
109,187511,40.0,0.0,0,1,0,0,1,0
110,189411,18.0,2.0,3,1,0,1,0,0
111,190215,19.0,0.0,0,1,0,0,1,0
112,191546,17.0,3.0,2,1,1,0,0,0
113,192341,23.0,6.0,2,0,1,0,0,0
114,193446,38.0,0.0,1,1,0,0,0,1
115,194441,16.0,1.0,0,0,0,0,1,0
116,196851,14.0,0.0,2,1,1,0,0,0
117,197486,25.0,3.0,2,1,1,0,0,0
118,199261,19.0,0.0,1,1,0,0,0,1
119,202631,27.0,0.0,2,1,1,0,0,0
120,203562,54.0,12.0,0,1,0,0,1,0
121,204561,16.0,5.0,2,0,1,0,0,0
122,205421,22.0,2.0,1,1,0,0,0,1
123,206541,17.0,2.0,0,1,0,0,1,0
124,209345,20.0,4.0,3,1,0,1,0,0
125,211571,17.0,0.0,1,1,0,0,0,1
126,212505,49.0,1.0,0,0,0,0,1,0
127,214591,27.0,0.0,0,1,0,0,1,0
128,217365,34.0,10.0,2,1,1,0,0,0
129,218426,42.0,0.0,1,1,0,0,0,1
130,219265,14.0,1.0,1,1,0,0,0,1
131,220411,30.0,1.0,2,1,1,0,0,0
132,221225,21.0,3.0,2,1,1,0,0,0
133,222281,21.0,0.0,0,1,0,0,1,0
134,224425,20.0,4.0,3,1,0,1,0,0
135,225411,18.0,10.0,3,1,0,1,0,0
136,225516,20.0,1.0,0,1,0,0,1,0
137,226381,33.0,0.0,3,1,0,1,0,0
138,228741,59.0,10.0,0,0,0,0,1,0
139,229666,49.0,0.0,0,1,0,0,1,0
140,230271,19.0,0.0,0,0,0,0,1,0
141,230651,27.0,25.0,0,0,0,0,1,0
142,231421,18.0,4.0,0,1,0,0,1,0
143,233441,24.0,4.0,0,1,0,0,1,0
144,236195,15.0,5.0,2,1,1,0,0,0
145,236456,39.0,3.0,1,1,0,0,0,1
146,239561,14.0,0.0,2,0,1,0,0,0
147,242355,31.0,3.0,1,1,0,0,0,1
148,244431,20.0,15.0,0,1,0,0,1,0
149,245671,22.0,0.0,0,1,0,0,1,0
150,246531,29.0,0.0,0,1,0,0,1,0
151,247475,25.0,0.0,2,1,1,0,0,0
152,249441,21.0,0.0,3,1,0,1,0,0
153,250546,41.0,0.0,0,1,0,0,1,0
154,251822,23.0,0.0,1,1,0,0,0,1
155,253483,38.0,0.0,1,1,0,0,0,1
156,254236,18.0,8.0,1,1,0,0,0,1
157,255375,28.0,2.0,3,1,0,1,0,0
158,256696,49.0,0.0,1,1,0,0,0,1
159,257822,17.0,0.0,1,0,0,0,0,1
160,259495,45.0,1.0,0,0,0,0,1,0
161,260461,31.0,0.0,0,1,0,0,1,0
162,261591,36.0,6.0,0,0,0,0,1,0
163,262566,35.0,0.0,1,1,0,0,0,1
164,266436,28.0,0.0,0,1,0,0,1,0
165,267361,15.0,0.0,1,1,0,0,0,1
166,269331,20.0,4.0,1,1,0,0,0,1
167,270225,22.0,5.0,0,1,0,0,1,0
168,271623,26.0,6.0,2,1,1,0,0,0
169,272616,36.0,0.0,1,1,0,0,0,1
170,273431,28.0,10.0,1,1,0,0,0,1
171,273651,34.0,1.0,3,1,0,1,0,0
172,274536,29.0,0.0,2,1,1,0,0,0
173,275653,20.0,0.0,0,1,0,0,1,0
174,277391,23.0,11.0,2,0,1,0,0,0
175,278413,41.0,3.0,3,1,0,1,0,0
176,279534,40.0,1.0,3,1,0,1,0,0
177,282691,26.0,3.0,2,0,1,0,0,0
178,283386,35.0,3.0,0,1,0,0,1,0
179,284426,40.0,4.0,0,1,0,0,1,0
180,285261,20.0,1.0,0,1,0,0,1,0
181,286556,40.0,0.0,3,1,0,1,0,0
182,287496,44.0,0.0,3,1,0,1,0,0
183,288666,61.0,2.0,2,1,1,0,0,0
184,289486,35.0,15.0,1,1,0,0,0,1
185,290531,28.0,1.0,2,1,1,0,0,0
186,291286,23.0,3.0,3,1,0,1,0,0
187,293336,19.0,7.0,0,1,0,0,1,0
188,295531,22.0,6.0,2,1,1,0,0,0
189,296851,34.0,4.0,3,1,0,1,0,0
190,297285,27.0,0.0,2,1,1,0,0,0
191,298551,18.0,0.0,0,0,0,0,1,0
192,301251,18.0,0.0,1,1,0,0,0,1
193,303195,15.0,4.0,0,1,0,0,1,0
194,304561,44.0,0.0,2,1,1,0,0,0
195,305321,19.0,0.0,3,1,0,1,0,0
196,306336,21.0,4.0,1,0,0,0,0,1
197,307423,42.0,4.0,2,1,1,0,0,0
198,307461,15.0,11.0,2,1,1,0,0,0
199,309276,25.0,3.0,3,1,0,1,0,0
200,311251,23.0,0.0,0,1,0,0,1,0
201,312373,34.0,6.0,1,1,0,0,0,1
202,314341,22.0,0.0,1,1,0,0,0,1
203,320631,32.0,1.0,1,1,0,0,0,1
204,321421,15.0,0.0,0,1,0,0,1,0
205,322421,26.0,2.0,1,1,0,0,0,1
206,323481,22.0,2.0,3,1,0,1,0,0
207,326341,20.0,6.0,1,1,0,0,0,1
208,328341,19.0,12.0,1,1,0,0,0,1
209,329551,29.0,25.0,2,0,1,0,0,0
210,330496,6.0,2.0,1,1,0,0,0,1
211,331691,18.0,0.0,3,0,0,1,0,0
212,332401,20.0,3.0,1,1,0,0,0,1
213,333541,46.0,0.0,1,1,0,0,0,1
214,335326,31.0,9.0,3,1,0,1,0,0
215,336205,12.0,0.0,1,1,0,0,0,1
216,337581,20.0,7.0,3,1,0,1,0,0
217,338546,18.0,0.0,1,1,0,0,0,1
218,341391,35.0,0.0,1,1,0,0,0,1
219,342596,39.0,0.0,1,1,0,0,0,1
220,343421,13.0,4.0,3,1,0,1,0,0
221,344396,27.0,0.0,3,1,0,1,0,0
222,345491,39.0,5.0,0,1,0,0,1,0
223,346371,18.0,8.0,0,0,0,0,1,0
224,347716,51.0,0.0,1,1,0,0,0,1
225,348456,38.0,1.0,2,1,1,0,0,0
226,350771,21.0,0.0,0,1,0,0,1,0
227,351405,39.0,7.0,1,1,0,0,0,1
228,352336,11.0,0.0,0,1,0,0,1,0
229,353285,16.0,5.0,0,1,0,0,1,0
230,354331,25.0,1.0,2,0,1,0,0,0
231,355771,12.0,2.0,0,1,0,0,1,0
232,358321,19.0,0.0,1,1,0,0,0,1
233,359511,45.0,0.0,2,0,1,0,0,0
234,360291,20.0,3.0,0,1,0,0,1,0
235,361593,49.0,0.0,1,1,0,0,0,1
236,362491,15.0,0.0,3,1,0,1,0,0
237,363761,15.0,0.0,1,1,0,0,0,1
238,364365,30.0,15.0,3,1,0,1,0,0
239,367471,19.0,2.0,0,1,0,0,1,0
240,368611,14.0,0.0,0,1,0,0,1,0
241,370713,16.0,0.0,1,1,0,0,0,1
242,371551,22.0,0.0,0,1,0,0,1,0
243,374391,27.0,4.0,0,1,0,0,1,0
244,375351,17.0,50.0,0,1,0,0,1,0
245,375486,40.0,4.0,1,1,0,0,0,1
246,378221,20.0,0.0,0,1,0,0,1,0
247,379781,73.0,8.0,0,0,0,0,1,0
248,380351,20.0,0.0,0,0,0,0,1,0
249,381295,25.0,2.0,3,1,0,1,0,0
250,383281,16.0,6.0,2,1,1,0,0,0
251,385491,20.0,0.0,3,1,0,1,0,0
252,386546,43.0,15.0,2,1,1,0,0,0
253,388731,16.0,0.0,0,0,0,0,1,0
254,389541,26.0,0.0,0,0,0,0,1,0
255,390431,35.0,5.0,1,1,0,0,0,1
256,392315,31.0,5.0,0,1,0,0,1,0
257,392341,22.0,11.0,1,1,0,0,0,1
258,393591,16.0,1.0,1,1,0,0,0,1
259,396291,18.0,0.0,0,1,0,0,1,0
260,399361,17.0,12.0,3,0,0,1,0,0
261,401561,40.0,0.0,1,1,0,0,0,1
262,405782,77.0,4.0,3,1,0,1,0,0
263,406672,66.0,0.0,3,1,0,1,0,0
264,412281,26.0,10.0,2,1,1,0,0,0
265,413606,32.0,3.0,1,1,0,0,0,1
266,414721,20.0,2.0,1,1,0,0,0,1
267,420285,27.0,4.0,1,1,0,0,0,1
268,421436,32.0,0.0,1,1,0,0,0,1
269,422485,40.0,10.0,3,1,0,1,0,0
270,423411,23.0,4.0,2,0,1,0,0,0
271,425381,15.0,1.0,1,1,0,0,0,1
272,427821,17.0,3.0,3,1,0,1,0,0
273,429306,22.0,6.0,0,1,0,0,1,0
274,431851,57.0,1.0,0,1,0,0,1,0
275,432411,22.0,3.0,3,1,0,1,0,0
276,433481,28.0,0.0,0,1,0,0,1,0
277,437831,47.0,2.0,2,1,1,0,0,0
278,439271,21.0,6.0,2,1,1,0,0,0
279,440811,20.0,0.0,2,0,1,0,0,0
280,441341,15.0,0.0,0,1,0,0,1,0
281,443301,27.0,1.0,1,1,0,0,0,1
282,444371,22.0,4.0,0,1,0,0,1,0
283,445591,16.0,1.0,3,1,0,1,0,0
284,448326,26.0,6.0,0,1,0,0,1,0
285,449566,39.0,0.0,3,1,0,1,0,0
286,450291,19.0,6.0,3,1,0,1,0,0
287,452446,29.0,0.0,1,1,0,0,0,1
