,caseid_new,qflag_w1,married_w1,children_in_hh,age_difference,age_gap_bin,same_sex_couple,edu_gap,edu_gap_bin,parental_approval,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_unique,how_long_relationship_w1,relationship_len,partner_deceased,relationship_quality_w1,qflag_w2,cflag_w2,relationship_status_w2,qflag_w3,cflag_w3,relationship_status_w3,qflag_w4,cflag_w4,relationship_status_w4,qflag_w5,cflag_w5,relationship_status_w5,qflag_w6,cflag_w6,relationship_status_w6
0,22526,partnered,not married,0.0,4.0,4 to 5,same-sex couple,2.0,0 to 2,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_online,7.0,12.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
1,23286,partnered,married,0.0,2.0,0 to 3,same-sex couple,1.0,0 to 2,don't approve or don't know,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,met_at_school,8.0,12.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
2,26315,partnered,not married,0.0,9.0,6 to 10,same-sex couple,2.0,0 to 2,approve,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_online,8.0,8.0,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
3,28536,partnered,not married,0.0,2.0,0 to 3,same-sex couple,1.0,0 to 2,approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,12.0,17.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
4,29584,partnered,married,0.0,7.0,6 to 10,different sex couple,0.0,0 to 2,approve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_work,30.0,35.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
5,31456,partnered,not married,0.0,0.0,0 to 3,same-sex couple,3.0,3 to 4,approve,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,4.0,4.0,0,excellent,qualified,no,,qualified,no,,qualified,no,,qualified,no,,,,
6,32656,partnered,not married,0.0,0.0,0 to 3,same-sex couple,0.0,0 to 2,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,met_party,27.0,28.0,0,excellent,qualified,no,,qualified,yes,still together,qualified,no,,qualified,no,,,,
7,33536,partnered,not married,0.0,9.0,6 to 10,same-sex couple,3.0,3 to 4,approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,15.0,18.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,,,
8,34341,partnered,married,0.0,0.0,0 to 3,different sex couple,0.0,0 to 2,approve,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,met_at_school,14.0,18.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
9,35653,partnered,not married,0.0,15.0,11 to 20,same-sex couple,4.0,3 to 4,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,14.0,14.0,0,excellent,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
