,caseid_new,qflag_w1,married_w1,children_in_hh,age_difference,age_gap_bin,same_sex_couple,race_gap,religious_gap,edu_gap,edu_gap_bin,parental_approval,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_count,how_met_unique,how_long_relationship_w1,relationship_len,partner_deceased,relationship_quality_w1,qflag_w2,cflag_w2,relationship_status_w2,qflag_w3,cflag_w3,relationship_status_w3,qflag_w4,cflag_w4,relationship_status_w4,qflag_w5,cflag_w5,relationship_status_w5,qflag_w6,cflag_w6,relationship_status_w6
0,22526,partnered,not married,0,4.0,4 to 5,same-sex couple,1,1,2.0,0 to 2,,1,0,0,0,0,0,0,0,0,1,0,0,2,met_online,7.0,12.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
1,23286,partnered,married,0,2.0,0 to 3,same-sex couple,0,1,1.0,0 to 2,don't approve or don't know,0,0,1,0,0,0,0,1,1,0,0,0,3,met_at_school,8.0,13.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
2,26315,partnered,not married,0,9.0,6 to 10,same-sex couple,0,1,2.0,0 to 2,approve,1,0,0,0,0,0,0,1,0,0,0,0,2,met_online,8.0,8.0,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
3,28536,partnered,not married,0,2.0,0 to 3,same-sex couple,0,1,1.0,0 to 2,approve,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,12.0,17.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
4,29584,partnered,married,0,7.0,6 to 10,different sex couple,0,0,0.0,0 to 2,approve,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,30.0,35.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
5,31456,partnered,not married,0,0.0,0 to 3,same-sex couple,0,1,3.0,3 to 4,approve,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,4.0,9.0,0,excellent,qualified,no,,qualified,no,,qualified,no,,qualified,no,,,,
6,32656,partnered,not married,0,0.0,0 to 3,same-sex couple,0,0,0.0,0 to 2,,0,0,0,0,0,0,1,1,0,0,0,0,2,met_party,27.0,32.0,0,excellent,qualified,no,,qualified,yes,still together,qualified,no,,qualified,no,,,,
7,33536,partnered,not married,0,9.0,6 to 10,same-sex couple,1,0,3.0,3 to 4,approve,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,15.0,18.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,,,
8,34341,partnered,married,0,0.0,0 to 3,different sex couple,0,1,0.0,0 to 2,approve,0,0,1,0,0,1,0,1,1,0,0,0,4,met_at_school,14.0,19.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
9,35653,partnered,not married,0,15.0,11 to 20,same-sex couple,0,1,4.0,3 to 4,,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,14.0,14.0,0,excellent,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
10,36493,partnered,not married,0,3.0,0 to 3,same-sex couple,0,0,0.0,0 to 2,,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,0.15,0.15,0,fair,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
11,38895,partnered,not married,0,37.0,>=20,same-sex couple,0,1,3.0,3 to 4,,1,0,0,0,0,0,0,0,0,0,1,0,2,met_online,19.0,24.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
12,40335,partnered,not married,0,6.0,6 to 10,same-sex couple,1,1,8.0,>6,don't approve or don't know,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,2.5,2.5,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
13,41505,partnered,not married,0,2.0,0 to 3,same-sex couple,0,1,5.0,5 to 6,don't approve or don't know,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,0.15,0.15,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
14,43381,partnered,married,0,7.0,6 to 10,same-sex couple,0,0,5.0,5 to 6,approve,0,0,0,0,1,0,0,0,0,0,0,0,1,met_travel,11.0,16.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
15,44486,partnered,married,0,1.0,0 to 3,same-sex couple,1,1,0.0,0 to 2,approve,1,0,0,0,0,0,0,0,0,1,0,0,2,met_online,4.0,6.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,disqualified,,,,,
16,46746,partnered,married,0,13.0,11 to 20,same-sex couple,0,1,6.0,5 to 6,,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,43.0,48.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
17,48225,partnered,not married,1,0.0,0 to 3,different sex couple,0,0,3.0,3 to 4,approve,0,0,1,0,0,0,0,0,0,0,0,0,1,met_at_school,0.45,5.45,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
18,49731,partnered,married,0,7.0,6 to 10,different sex couple,0,1,5.5,5 to 6,,0,1,0,0,0,0,0,1,0,0,0,0,2,met_at_work,46.0,51.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
19,51376,partnered,not married,0,4.0,4 to 5,same-sex couple,0,0,3.0,3 to 4,approve,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,2.5,3.5,0,good,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
20,54415,partnered,not married,0,7.0,6 to 10,different sex couple,0,1,5.0,5 to 6,don't approve or don't know,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,0.45,0.45,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
21,55365,partnered,not married,4,1.0,0 to 3,different sex couple,0,1,2.0,0 to 2,approve,1,1,0,0,0,0,0,0,0,0,0,0,2,met_online,5.0,6.0,0,good,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
22,55686,partnered,not married,0,32.0,>=20,same-sex couple,1,1,0.0,0 to 2,approve,0,0,0,0,0,1,0,0,0,1,0,0,2,met_social,12.0,17.0,0,excellent,qualified,no,,qualified,no,,qualified,yes,still together,qualified,no,,,,
23,56536,partnered,not married,0,4.0,4 to 5,same-sex couple,1,1,1.0,0 to 2,approve,0,0,0,0,1,0,1,1,0,0,0,0,3,met_travel,10.0,15.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
24,58295,partnered,not married,0,5.0,4 to 5,different sex couple,0,0,1.0,0 to 2,approve,0,0,0,0,0,0,0,1,0,1,0,0,2,met_f_and_f,4.0,9.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
25,60743,partnered,not married,0,16.0,11 to 20,different sex couple,0,0,0.0,0 to 2,,0,1,0,1,1,0,0,0,0,0,0,0,3,met_at_work,0.15,0.15,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
26,62283,partnered,not married,0,0.0,0 to 3,different sex couple,0,1,1.0,0 to 2,approve,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,0.75,0.75,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
27,64331,partnered,married,1,9.0,6 to 10,different sex couple,1,0,2.0,0 to 2,approve,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,7.0,12.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
28,65446,partnered,not married,0,3.0,0 to 3,same-sex couple,0,1,3.0,3 to 4,don't approve or don't know,1,0,0,0,0,0,0,1,0,0,0,0,2,met_online,0.75,0.75,0,excellent,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
29,66484,partnered,not married,0,10.0,6 to 10,different sex couple,0,0,0.0,0 to 2,,1,0,0,0,0,1,0,0,0,1,0,0,3,met_online,0.75,0.75,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
30,68546,partnered,married,0,6.0,6 to 10,same-sex couple,0,1,1.0,0 to 2,don't approve or don't know,0,1,0,0,0,0,0,0,0,1,0,0,2,met_at_work,20.0,25.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
31,69311,partnered,married,1,0.0,0 to 3,different sex couple,0,0,2.0,0 to 2,don't approve or don't know,0,0,0,0,0,0,0,0,0,0,1,0,1,met_offline_dating,6.0,11.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
32,72515,partnered,not married,1,0.0,0 to 3,different sex couple,0,1,0.0,0 to 2,approve,0,0,1,0,0,0,1,1,0,1,0,0,4,met_at_school,11.0,11.0,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
33,73603,partnered,married,0,0.0,0 to 3,different sex couple,0,1,5.0,5 to 6,approve,0,0,0,0,0,0,1,1,0,1,0,0,3,met_party,29.0,29.0,0,very poor,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
34,75621,partnered,married,0,10.0,6 to 10,different sex couple,0,1,4.0,3 to 4,,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,29.0,34.0,0,good,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
