caseid_new,weight1,weight2,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphouseholdsize,pphouse,ppincimp,hhinc,ppmarit,ppmsacat,ppreg4,ppreg9,pprent,ppt01,ppt1317,ppt18ov,ppt25,ppt612,children_in_hh,ppwork,ppnet,ppq14arace,pphispan,pprace_white,pprace_black,pprace_nativeamerican,pprace_asianindian,pprace_chinese,pprace_filipino,pprace_japanese,pprace_korean,pprace_vietnamese,pprace_otherasian,pprace_hawaiian,pprace_guamanian,pprace_samoan,pprace_otherpacificislander,pprace_someotherrace,papglb_friend,pppartyid3,papevangelical,papreligion,ppppcmdate_yrmo,pppadate_yrmo
22526,4265,4265.0,52,45-54,45-59,bachelors degree,bachelor's degree or higher,hispanic,female,yes,2,a building with 2 or more apartments,"$20,000 to $24,999",22250.0,living with partner,metro,midwest,east-north central,rented for cash,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"yes, other spanish/hispanic/latino",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,catholic,200711.0,200709.0
23286,16485,16485.0,28,25-34,18-29,masters degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a building with 2 or more apartments,"$40,000 to $49,999",45000.0,living with partner,metro,west,pacific,rented for cash,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,jewish,200711.0,200709.0
25495,52464,,49,45-54,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"black, non-hispanic",female,yes,4,a building with 2 or more apartments,"$35,000 to $39,999",37250.0,never married,metro,south,west-south central,rented for cash,0,1,1,0,0,1,working - as a paid employee,yes,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,yes,baptist-any denomination,200711.0,200709.0
26315,4575,4575.0,31,25-34,30-44,associate degree,some college,"white, non-hispanic",male,yes,1,a building with 2 or more apartments,"$40,000 to $49,999",45000.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,"other non-christian, please specify:",200710.0,200709.0
27355,12147,,35,35-44,30-44,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,2,a one-family house attached to one or more houses,"$40,000 to $49,999",45000.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - self-employed,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,other christian,200710.0,200709.0
27695,1799,,69,65-74,60+,"some college, no degree",some college,"white, non-hispanic",male,yes,1,a building with 2 or more apartments,"$25,000 to $29,999",27250.0,never married,metro,midwest,east-north central,rented for cash,0,0,1,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200711.0,200709.0
28536,1924,1924.0,53,45-54,45-59,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$125,000 to $149,999",137250.0,living with partner,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
29584,3173,3173.0,58,55-64,45-59,masters degree,bachelor's degree or higher,"white, non-hispanic",male,yes,1,a building with 2 or more apartments,"$15,000 to $19,999",17250.0,separated,metro,south,south atlantic,rented for cash,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
30393,68772,,39,35-44,30-44,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,1,a building with 2 or more apartments,"$25,000 to $29,999",27250.0,divorced,metro,midwest,east-north central,rented for cash,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,catholic,200710.0,200709.0
31456,1021,1021.0,45,45-54,45-59,"some college, no degree",some college,"white, non-hispanic",male,yes,4,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,living with partner,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,3,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,"other non-christian, please specify:",200803.0,200711.0
32656,2189,2189.0,65,65-74,60+,masters degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$125,000 to $149,999",137250.0,living with partner,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200710.0,200711.0
33536,3190,3190.0,53,45-54,45-59,professional or doctorate degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house attached to one or more houses,"$175,000 or more",200000.0,living with partner,metro,west,pacific,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - self-employed,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200809.0,200809.0
34341,4924,4924.0,34,25-34,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,married,metro,midwest,west-north central,rented for cash,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,"other non-christian, please specify:",200801.0,200801.0
35653,2303,2303.0,65,65-74,60+,masters degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,divorced,metro,west,mountain,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,other christian,200712.0,200709.0
