caseid_new,pp5_ppage,pp5_ppagecat,pp5_ppagect4,pp5_ppeduc,pp5_ppeducat,pp5_ppethm,pp5_ppgender,pp5_pphhhead,pp5_pphhsize,pp5_pphouse,pp5_ppincimp,pp5_ppmarit,pp5_ppcmdate_yrmo,pp5_newer,pp5_ppmsacat,pp5_ppreg4,pp5_ppreg9,pp5_pprent,pp5_ppt01,pp5_ppt25,pp5_ppt612,pp5_ppt1317,pp5_ppt18ov,pp5_ppwork,pp5_ppnet,ppmarit_2014,ppcmarit_2014_yrmo,ppmarit_2013,ppcmarit_2013_yrmo,ppmarit_2012,ppcmarit_2012_yrmo,ppmarit_2011,ppcmarit_2011_yrmo,ppmarit_2010,ppcmarit_2010_yrmo,ppmarit_2009,ppcmarit_2009_yrmo,ppmarit_2007,ppcmarit_2007_yrmo
22526,58,55-64,45-59,Bachelors degree,Bachelor's degree or higher,Hispanic,Female,1,2,A building with 2 or more apartments,"$15,000 to $19,999",Living with partner,201405.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,2,Not working - disabled,Yes,Living with partner,201405.0,Living with partner,201305.0,Living with partner,201207.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200905.0,Living with partner,200711.0
23286,34,25-34,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,4,A one-family house attached to one or more houses,"$40,000 to $49,999",Married,201405.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,1,1,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201309.0,Living with partner,201208.0,Married,201106.0,Living with partner,201007.0,Married,200904.0,Living with partner,200711.0
25495,54,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$25,000 to $29,999",Never married,201405.0,Yes,Metro,South,West-South Central,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201206.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
26315,37,35-44,30-44,Associate degree,Some college,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$40,000 to $49,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201405.0,Never married,201309.0,Never married,201206.0,Never married,201106.0,Never married,201007.0,Never married,200905.0,Never married,200710.0
27355,40,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$40,000 to $49,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - self-employed,Yes,Never married,201405.0,Never married,201305.0,Never married,201206.0,Never married,201106.0,Never married,201005.0,Never married,200904.0,Never married,200710.0
27695,75,75+,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$15,000 to $19,999",Never married,201306.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,1,Not working - retired,Yes,,,Never married,201306.0,Never married,201208.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
28536,59,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$175,000 or more",Living with partner,201405.0,Yes,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201405.0,Living with partner,201305.0,Living with partner,201206.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200710.0
29584,63,55-64,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,0,3,A one-family house detached from any other house,"$175,000 or more",Married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Not working - retired,Yes,Married,201405.0,Married,201305.0,Married,201208.0,Separated,201107.0,Separated,201007.0,Separated,200904.0,Separated,200710.0
30393,45,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$35,000 to $39,999",Divorced,201404.0,Yes,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,Divorced,201404.0,Divorced,201305.0,Divorced,201206.0,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Divorced,200710.0
31456,50,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,200904.0,No,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,,,,,,,,,,,Living with partner,200904.0,Living with partner,200803.0
