caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,breakup_year_combo,breakup_month_combo,got_married?_new
22526,22526_6,qualified,yes,201707,still together,,,,,no
28536,28536_6,qualified,yes,201707,still together,,,,,no
29584,29584_6,qualified,yes,201707,still together,,,,,
48225,48225_6,qualified,yes,201707,still together,,,,,
49731,49731_6,qualified,yes,201707,still together,,,,,
58295,58295_6,qualified,yes,201707,still together,,,,,
64331,64331_6,qualified,yes,201707,still together,,,,,
68546,68546_6,qualified,yes,201707,still together,,,,,
83431,83431_6,qualified,yes,201707,still together,,,,,
103545,103545_6,qualified,yes,201707,still together,,,,,no
114276,114276_6,qualified,yes,201707,still together,,,,,
117401,117401_6,qualified,yes,201708,still together,,,,,
126231,126231_6,qualified,yes,201707,still together,,,,,
128441,128441_6,qualified,yes,201707,broke up,,,2017.0,July,
134275,134275_6,qualified,yes,201707,still together,,,,,
155561,155561_6,qualified,yes,201707,still together,,,,,
156486,156486_6,qualified,yes,201707,still together,,,,,no
157421,157421_6,qualified,yes,201707,still together,,,,,
163195,163195_6,qualified,yes,201708,still together,,,,,
166381,166381_6,qualified,yes,201707,still together,,,,,
168646,168646_6,qualified,yes,201707,still together,,,,,
171391,171391_6,qualified,yes,201707,still together,,,,,
172291,172291_6,qualified,yes,201707,still together,,,,,
179461,179461_6,qualified,yes,201707,still together,,,,,
187511,187511_6,qualified,yes,201707,still together,,,,,
189411,189411_6,qualified,yes,201707,still together,,,,,
192341,192341_6,qualified,yes,201707,still together,,,,,
194441,194441_6,qualified,yes,201707,broke up,,,2015.0,May,
202631,202631_6,qualified,yes,201707,still together,,,,,
205421,205421_6,qualified,yes,201707,still together,,,,,
211571,211571_6,qualified,yes,201707,still together,,,,,
214591,214591_6,qualified,yes,201707,still together,,,,,
220411,220411_6,qualified,yes,201707,still together,,,,,
225516,225516_6,qualified,yes,201707,still together,,,,,no
239561,239561_6,qualified,yes,201707,still together,,,,,
244431,244431_6,qualified,yes,201707,still together,,,,,
250546,250546_6,qualified,yes,201707,still together,,,,,
256696,256696_6,qualified,yes,201707,still together,,,,,
262566,262566_6,qualified,yes,201707,still together,,,,,
267361,267361_6,qualified,yes,201707,still together,,,,,
271623,271623_6,qualified,yes,201707,still together,2015.0,September,,,yes
273431,273431_6,qualified,yes,201707,still together,,,,,
283386,283386_6,qualified,yes,201707,broke up,,,2016.0,August,
