caseid_new,caseid_wave,qualified?,followup_HCMST_yrmo,relationship_status,survey_completed_new,got_married?_new
22526,22526_2,qualified,201003.0,still together,yes,no
23286,23286_2,qualified,201003.0,still together,yes,
26315,26315_2,qualified,201003.0,broke up,yes,
28536,28536_2,qualified,201003.0,still together,yes,no
29584,29584_2,qualified,201003.0,still together,yes,
31456,31456_2,qualified,,,no,
32656,32656_2,qualified,,,no,
33536,33536_2,qualified,201003.0,still together,yes,no
34341,34341_2,qualified,201003.0,still together,yes,
35653,35653_2,qualified,201003.0,broke up,yes,
36493,36493_2,qualified,201003.0,broke up,yes,
38895,38895_2,qualified,201003.0,still together,yes,no
40335,40335_2,qualified,201003.0,broke up,yes,
41505,41505_2,qualified,201003.0,broke up,yes,
43381,43381_2,qualified,201003.0,still together,yes,
44486,44486_2,qualified,201003.0,still together,yes,
46746,46746_2,qualified,201003.0,still together,yes,
48225,48225_2,qualified,201003.0,still together,yes,no
49731,49731_2,qualified,201003.0,still together,yes,
51376,51376_2,qualified,201004.0,still together,yes,no
54415,54415_2,qualified,201003.0,broke up,yes,
55365,55365_2,qualified,201003.0,still together,yes,no
55686,55686_2,qualified,,,no,
56536,56536_2,qualified,201003.0,still together,yes,no
58295,58295_2,qualified,201003.0,still together,yes,no
60743,60743_2,qualified,201003.0,broke up,yes,
62283,62283_2,qualified,201003.0,broke up,yes,
64331,64331_2,qualified,201003.0,still together,yes,
65446,65446_2,qualified,201003.0,broke up,yes,
66484,66484_2,qualified,201003.0,broke up,yes,
68546,68546_2,qualified,201003.0,still together,yes,
69311,69311_2,qualified,201003.0,still together,yes,
72515,72515_2,qualified,201003.0,broke up,yes,
73603,73603_2,qualified,201003.0,broke up,yes,
75621,75621_2,qualified,201003.0,still together,yes,
77256,77256_2,qualified,201003.0,still together,yes,
78351,78351_2,qualified,201003.0,still together,yes,
79731,79731_2,qualified,201003.0,still together,yes,
80656,80656_2,qualified,201003.0,still together,yes,no
81286,81286_2,qualified,201003.0,still together,yes,yes
82431,82431_2,qualified,201003.0,still together,yes,
83431,83431_2,qualified,201003.0,still together,yes,
85281,85281_2,qualified,201003.0,still together,yes,
86591,86591_2,qualified,201003.0,still together,yes,
89766,89766_2,qualified,201003.0,still together,yes,no
94431,94431_2,qualified,201003.0,still together,yes,
95431,95431_2,qualified,201003.0,still together,yes,
97195,97195_2,qualified,201003.0,still together,yes,no
99611,99611_2,qualified,201003.0,still together,yes,
100331,100331_2,qualified,201003.0,still together,yes,
103545,103545_2,qualified,201003.0,still together,yes,no
104565,104565_2,qualified,201003.0,still together,yes,no
106296,106296_2,qualified,201003.0,still together,yes,no
108381,108381_2,qualified,,,no,
108501,108501_2,qualified,201004.0,still together,yes,
110316,110316_2,qualified,201003.0,still together,yes,no
112646,112646_2,qualified,201003.0,still together,yes,
113235,113235_2,qualified,201004.0,still together,yes,yes
114276,114276_2,qualified,201003.0,still together,yes,
115473,115473_2,qualified,201003.0,broke up,yes,
116271,116271_2,qualified,201003.0,still together,yes,
117401,117401_2,qualified,201003.0,still together,yes,
119371,119371_2,qualified,201003.0,still together,yes,
119663,119663_2,qualified,201003.0,still together,yes,no
120456,120456_2,qualified,201003.0,still together,yes,
121515,121515_2,qualified,201003.0,still together,yes,no
122441,122441_2,qualified,201003.0,still together,yes,
125346,125346_2,qualified,201003.0,broke up,yes,
126231,126231_2,qualified,201003.0,still together,yes,
128441,128441_2,qualified,201003.0,still together,yes,
130266,130266_2,qualified,201003.0,still together,yes,
131561,131561_2,qualified,,,no,
133521,133521_2,qualified,201004.0,still together,yes,
134275,134275_2,qualified,201003.0,still together,yes,no
134461,134461_2,qualified,201003.0,still together,yes,yes
135736,135736_2,qualified,201003.0,still together,yes,no
136275,136275_2,qualified,201003.0,still together,yes,yes
137215,137215_2,qualified,201003.0,still together,yes,no
140511,140511_2,qualified,201003.0,still together,yes,
142561,142561_2,qualified,201003.0,still together,yes,
143746,143746_2,qualified,,,no,
144545,144545_2,qualified,201003.0,still together,yes,no
145611,145611_2,qualified,201003.0,still together,yes,
147245,147245_2,qualified,201003.0,still together,yes,no
147525,147525_2,qualified,201003.0,still together,yes,no
150411,150411_2,qualified,201003.0,still together,yes,
151506,151506_2,qualified,201003.0,still together,yes,
152762,152762_2,qualified,201004.0,partner passed away,yes,
154531,154531_2,qualified,201003.0,still together,yes,
155561,155561_2,qualified,201003.0,still together,yes,
156486,156486_2,qualified,201003.0,still together,yes,no
157421,157421_2,qualified,201003.0,still together,yes,
158261,158261_2,qualified,201003.0,still together,yes,
161715,161715_2,qualified,201003.0,broke up,yes,
162521,162521_2,qualified,201003.0,still together,yes,
163195,163195_2,qualified,201003.0,still together,yes,no
166381,166381_2,qualified,201003.0,still together,yes,
167245,167245_2,qualified,201003.0,still together,yes,no
168646,168646_2,qualified,201003.0,still together,yes,
171391,171391_2,qualified,201003.0,still together,yes,
172291,172291_2,qualified,201003.0,still together,yes,
173671,173671_2,qualified,201003.0,still together,yes,
174603,174603_2,qualified,201003.0,still together,yes,no
176495,176495_2,qualified,201003.0,still together,yes,no
177386,177386_2,qualified,201003.0,broke up,yes,
179461,179461_2,qualified,201003.0,still together,yes,
180415,180415_2,qualified,201003.0,broke up,yes,
181403,181403_2,qualified,201003.0,still together,yes,no
185405,185405_2,qualified,201005.0,still together,yes,no
187511,187511_2,qualified,201003.0,still together,yes,
189411,189411_2,qualified,201003.0,still together,yes,
190215,190215_2,qualified,201003.0,still together,yes,no
191546,191546_2,qualified,201003.0,still together,yes,
192341,192341_2,qualified,201003.0,still together,yes,
193446,193446_2,qualified,,,no,
194441,194441_2,qualified,201003.0,still together,yes,
196851,196851_2,qualified,201003.0,still together,yes,
197486,197486_2,qualified,201003.0,still together,yes,no
199261,199261_2,qualified,201003.0,still together,yes,
202631,202631_2,qualified,201003.0,still together,yes,
203562,203562_2,qualified,201003.0,broke up,yes,
204561,204561_2,qualified,201003.0,still together,yes,
205421,205421_2,qualified,201003.0,still together,yes,
206541,206541_2,qualified,201003.0,still together,yes,
209345,209345_2,qualified,201004.0,broke up,yes,
211571,211571_2,qualified,201003.0,still together,yes,
212505,212505_2,qualified,201003.0,broke up,yes,
214591,214591_2,qualified,201003.0,still together,yes,
217365,217365_2,qualified,201003.0,still together,yes,no
218426,218426_2,qualified,201003.0,still together,yes,no
219265,219265_2,qualified,201003.0,still together,yes,no
220411,220411_2,qualified,201003.0,still together,yes,
221225,221225_2,qualified,201003.0,still together,yes,no
