,caseid_new,w5_duration,w5_source,w5_complete,w5_status,w5x_qualified,w5x_marry,w5x_last,w5x_year,w5x_civil,w5x_month,w5x_civyear,w5x_civmonth,w5_q1,w5_q2,w5_sex_frequency,w5_p_monogamy,w5_identity,w5_outness,w5_q3,w5_q4,w5_mbtiming_month,w5_mbtiming_year,w5_q5,w5_q6,w5_q7,w5_mar_year,w5_mar_month,w5_q8,w5_civ_year,w5_civ_month,w5_q9,w5_q10,w5_nonmbtiming_year,w5_nonmbtiming_month,w5_broke_up,w5_HCMST_interview_fin_yrmo,w2345_combo_breakup,responded_to_w234or5,pp5_ppage,pp5_ppagecat,pp5_ppagect4,pp5_ppeduc,pp5_ppeducat,pp5_ppethm,pp5_ppgender,pp5_pphhhead,pp5_pphhsize,pp5_pphouse,pp5_ppincimp,pp5_ppmarit,pp5_ppcmdate_yrmo,pp5_newer,pp5_ppmsacat,pp5_ppreg4,pp5_ppreg9,pp5_pprent,pp5_ppt01,pp5_ppt25,pp5_ppt612,pp5_ppt1317,pp5_ppt18ov,pp5_ppwork,pp5_ppnet,ppmarit_2014,ppcmarit_2014_yrmo,ppmarit_2013,ppcmarit_2013_yrmo,ppmarit_2012,ppcmarit_2012_yrmo,ppmarit_2011,ppcmarit_2011_yrmo,ppmarit_2010,ppcmarit_2010_yrmo,ppmarit_2009,ppcmarit_2009_yrmo,ppmarit_2007,ppcmarit_2007_yrmo
0,22526,1.0,online,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,Once or twice a week,"Yes, I expect [name] will only have sex with me",lesbian,Some of them,,,,,yes,yes,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,58,55-64,45-59,Bachelors degree,Bachelor's degree or higher,Hispanic,Female,1,2,A building with 2 or more apartments,"$15,000 to $19,999",Living with partner,201405.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,2,Not working - disabled,Yes,Living with partner,201405.0,Living with partner,201305.0,Living with partner,201207.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200905.0,Living with partner,200711.0
1,23286,0.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,yes civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",lesbian,All or most of them,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,34,25-34,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,4,A one-family house attached to one or more houses,"$40,000 to $49,999",Married,201405.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,1,1,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201309.0,Living with partner,201208.0,Married,201106.0,Living with partner,201007.0,Married,200904.0,Living with partner,200711.0
2,25495,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$25,000 to $29,999",Never married,201405.0,Yes,Metro,South,West-South Central,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201206.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
3,26315,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,37,35-44,30-44,Associate degree,Some college,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$40,000 to $49,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201405.0,Never married,201309.0,Never married,201206.0,Never married,201106.0,Never married,201007.0,Never married,200905.0,Never married,200710.0
4,27355,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$40,000 to $49,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - self-employed,Yes,Never married,201405.0,Never married,201305.0,Never married,201206.0,Never married,201106.0,Never married,201005.0,Never married,200904.0,Never married,200710.0
5,27695,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75+,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$15,000 to $19,999",Never married,201306.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,1,Not working - retired,Yes,,,Never married,201306.0,Never married,201208.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
6,28536,1.0,online,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,Once a month or less,"No, I expect [name] to have sex with other people besides me",gay,All or most of them,,,,,yes,yes,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,59,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$175,000 or more",Living with partner,201405.0,Yes,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201405.0,Living with partner,201305.0,Living with partner,201206.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200710.0
7,29584,1.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once a month or less,"No, I expect [name] to have sex with other people besides me",gay,All or most of them,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,63,55-64,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,0,3,A one-family house detached from any other house,"$175,000 or more",Married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Not working - retired,Yes,Married,201405.0,Married,201305.0,Married,201208.0,Separated,201107.0,Separated,201007.0,Separated,200904.0,Separated,200710.0
8,30393,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$35,000 to $39,999",Divorced,201404.0,Yes,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,Divorced,201404.0,Divorced,201305.0,Divorced,201206.0,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Divorced,200710.0
9,31456,,,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,5.0,2009.0,no civil union or DP prior to wave 5,February,2009.0,February,,,,,,,,,,,,,,,,,,,,,,,,,,No,50,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,200904.0,No,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,,,,,,,,,,,Living with partner,200904.0,Living with partner,200803.0
10,32656,,,eligible but not completed,Do not call,qualified for wave 5,unmarried partners,3.0,2011.0,yes civil union or DP prior to wave 5,June,2011.0,June,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,71,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$125,000 to $149,999",Living with partner,200710.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,,,Living with partner,200710.0
11,33536,14.0,online,wave 5 completed,Withdrawn,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,,,gay,All or most of them,,,,,no,,,,,,,,We broke up,[name] wanted to break up more,2014.0,February,broke up,201412.0,"broke up at wave 2,3,4, or 5",Yes,59,55-64,45-59,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house attached to one or more houses,"$175,000 or more",Living with partner,201207.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,2,Working - self-employed,Yes,,,,,Living with partner,201207.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200905.0,Living with partner,200809.0
12,34341,4241.0,online,wave 5 completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",bisexual,Some of them,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,40,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$75,000 to $84,999",Married,201007.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,,,Married,201007.0,Married,200905.0,Married,200801.0
13,35653,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,71,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$40,000 to $49,999",Living with partner,201409.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201409.0,Living with partner,201305.0,Never married,201208.0,Never married,201107.0,Never married,201008.0,Never married,200904.0,Divorced,200712.0
14,36493,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,54,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$30,000 to $34,999",Divorced,201209.0,No,Metro,Midwest,West-North Central,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,,,,,Divorced,201209.0,Divorced,201107.0,Divorced,201004.0,Divorced,200904.0,Divorced,200711.0
15,37656,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house attached to one or more houses,"$30,000 to $34,999",Living with partner,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Living with partner,201405.0,Living with partner,201305.0,Divorced,201207.0,Divorced,201107.0,Divorced,201007.0,Divorced,200905.0,Living with partner,200710.0
16,38895,,,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,3.0,2011.0,no civil union or DP prior to wave 5,April,2011.0,April,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,78,75+,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,0,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,201208.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,1,Not working - retired,Yes,,,,,Divorced,201208.0,Divorced,201107.0,Divorced,201007.0,Divorced,200908.0,Never married,200807.0
17,39415,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house attached to one or more houses,"$75,000 to $84,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200712.0
18,40335,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,39,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$175,000 or more",Living with partner,201404.0,Yes,Metro,West,Pacific,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201404.0,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
19,41505,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,56,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"Less than $5,000",Never married,201405.0,Yes,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - looking for work,Yes,Never married,201405.0,Never married,201306.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
