caseid_new,caseid_wave,qualified?,w2_broke_up,w2_xmarry,w2_deceased,w2_panelstat,w2_donotcontact,w2_assigned,w2_f1complete,w2_HCMST_interview_fin_yrmo,w2_xss,w2_q1,w2_q5,w2_q2,w2_q3,w2_q4,w2_q6,w2_q7,w2_q8,w2_q9,w2_q10
22526,22526_2,qualified,still together,partnered,not deceased,withdrawn kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
23286,23286_2,qualified,still together,married,not deceased,withdrawn kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
26315,26315_2,qualified,broke up,partnered,not deceased,withdrawn kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,no,,,,,,,we broke up,i wanted to break up more
28536,28536_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
29584,29584_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,no,,,,,,,
31456,31456_2,qualified,,,not deceased,withdrawn kn panelist,all other cases,assigned to survey,did not complete followup survey,,,,,,,,,,,,
32656,32656_2,qualified,,,not deceased,withdrawn kn panelist,withdrawn case on noncontact list,not assigned to survey,did not complete followup survey,,,,,,,,,,,,
33536,33536_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
34341,34341_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
35653,35653_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,no,,,,,,,other (please describe),[partner] wanted to break up more
36493,36493_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,no,,,,,,,we broke up,we both equally wanted to break up
38895,38895_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,no,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
40335,40335_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,no,,,,,,,other (please describe),[partner] wanted to break up more
41505,41505_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,no,,,,,,,other (please describe),we both equally wanted to break up
43381,43381_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",yes,,yes,,,,,,,
44486,44486_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
46746,46746_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",yes,,yes,,,,,,,
48225,48225_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
49731,49731_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
51376,51376_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201004.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
54415,54415_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,no,,,,,,,we broke up,i wanted to break up more
55365,55365_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
55686,55686_2,qualified,,,not deceased,withdrawn kn panelist,all other cases,assigned to survey,did not complete followup survey,,,,,,,,,,,,
56536,56536_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
58295,58295_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
60743,60743_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,no,,,,,,,we broke up,i wanted to break up more
62283,62283_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,no,,,,,,,we broke up,i wanted to break up more
64331,64331_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
65446,65446_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,no,,,,,,,other (please describe),we both equally wanted to break up
66484,66484_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,no,,,,,,,we broke up,[partner] wanted to break up more
