,caseid_new,w4_xqualified,w4_status,w4_complete,w4_source,w4_duration,w4_HCMST_interview_fin_yrmo,w4_xtype,w4_xyear,w4_xmonth,w4_xmarry,w4_xlast,w4_xwave1_month,w4_xcivil,w4_xss,w4_q1,w4_q2,w4_quality,w4_attractive,w4_attractive_partner,w4_q3,w4_q4,w4_mbtiming_year,w4_mbtiming_month,w4_q5,w4_q6,w4_q7,w4_mar_year,w4_mar_month,w4_civ_year,w4_q8_a,w4_q8_b,w4_q9,w4_q10,w4_nonmbtiming_year,w4_nonmbtiming_month,relationship_quality_w4,w4_broke_up,w234_combo_breakup,pp4_ppeduc,pp4_ppeducat,pp4_ppethm,pp4_pphhhead,pp4_pphhsize,pp4_pphouse,pp4_ppincimp,pp4_ppmarit,pp4_ppmsacat,pp4_ppreg4,pp4_ppreg9,pp4_pprent,pp4_ppt01,pp4_ppt25,pp4_ppt612,pp4_ppt1317,pp4_ppt18ov,pp4_ppwork,pp4_ppnet,pp4_ppcmdate_yrmo,pp4_newer,ppa2009_services_yrmo,ppa2009_how_often_services
0,22526,qualified for wave 4,Active,Yes,On-line,3.0,201303.0,,,,,,,,Yes,,,Good,moderately attractive,very attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,Hispanic,Yes,2,A building with 2 or more apartments,"$12,500 to $14,999",Living with partner,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,2,Not working - disabled,Yes,,Yes,,
1,23286,qualified for wave 4,Active,Yes,On-line,0.0,201303.0,,,,,,,,No,yes,yes,Good,very attractive,very attractive,,,,,,,,,,,,,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A one-family house attached to one or more houses,"$60,000 to $74,999",Living with partner,Metro,West,Pacific,Rented for cash,1,0,0,0,2,Working - as a paid employee,Yes,,Yes,,
2,25495,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Yes,3,A building with 2 or more apartments,"$30,000 to $34,999",Never married,Metro,South,West-South Central,Rented for cash,0,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200903.0,More than once a week
3,26315,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Associate degree,Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$50,000 to $59,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201309.0,Yes,200903.0,Never
4,27355,unqualified for wave 4,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201305.0,Yes,200903.0,A few times a year
5,27695,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$15,000 to $19,999",Never married,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,1,Not working - retired,Yes,201306.0,Yes,200903.0,Once a year or less
6,28536,qualified for wave 4,Active,Yes,On-line,1.0,201303.0,same-sex couple,2011.0,April,Unmarried partners,2.0,2.0,No,Yes,,,Fair,moderately attractive,moderately attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,3.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once a year or less
7,29584,qualified for wave 4,Active,Yes,On-line,1.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$175,000 or more",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201305.0,Yes,200903.0,Once a week
8,30393,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$30,000 to $34,999",Divorced,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Never
9,31456,qualified for wave 4,Withdrawn,No,,,,same-sex couple,2009.0,February,Unmarried partners,4.0,2.0,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,200904.0,No,200903.0,
