Column Label	column label	drop or not
" 'caseid_new',"		
 'w2_broke_up'		
 'w2_xmarry'	           	
 'w2_deceased'		
#  'w2_multiname'		drop
 'w2_panelstat'		
 'w2_donotcontact'		
 'w2_assigned'		
 'w2_f1complete'		
 'w2_HCMST_interview_fin_yrmo'		
#  'w2_duration'		drop
 'w2_xss'		
#  'w2_source'		drop
 'w2_q1'		
 'w2_q5'		
 'w2_q2'		
 'w2_q3'		
 'w2_q4'		
 'w2_q6'		
 'w2_q7'		
 'w2_q8'		
 'w2_q9'		
 'w2_q10'		
 #'w2_days_elapsed'		drop
		
" 'caseid_new',"		
" 'w2w3_combo_breakup',"		
 'w3_broke_up'		
 'w3_xmarry'		
 'w3_xdeceased'		
'w3_xpartnered'		
#  'w3_multiname'		drop
 'w3_xss'		
 'w3_xlast'		
 'w3_xyear'		
#  'w3_xmonth'		drop
 'w3_xqualified'		
 'w3_status'		
 'w3_complete'	 # complete wave 3 survey?	
#  'w3_source'	 # online or telephone interview?	drop
 'w3_HCMST_interview_fin_yrmo'	 # year/month of 3rd wave interview	
 'w3_days_elapsed'		
#  'w3_duration'		drop
 'w3_xtype'	 # same-sex or heterosexual?	
 'w3_q1'	 # still married?	
 'w3_q2'	 # still living together?	
  'w3_q3'	 # how did marriage end?	
  'w3_q4'	 # who wanted marriage to end more?	
 'w3_mbtiming_year'		
#  'w3_mbtiming_month'		drop
 'w3_q5'	 # still in romantic relationship with partner?	
 'w3_q6'	 # currently living with partner?	
 'w3_q7'	 # have you and partner gotten married in last year	
 'w3_q8'		
  'w3_q9'	 # how did relationship end	
  'w3_q10'	 # who wanted to break up more	
  'w3_nonmbtiming_year'	 ### year of breakup	
#  'w3_nonmbtiming_month'		drop
		
		
" 'caseid_new',"		
'w4_broke_up'		
 'w234_combo_breakup'		
 'w4_xqualified'		
 'w4_status'		
 'w4_complete'		
#  'w4_source'		drop
#  'w4_duration'		drop
 'w4_HCMST_interview_fin_yrmo'		
 'w4_xtype'		
 'w4_xyear'		
# 'w4_xmonth'		drop
# 'w4_xmarry'		drop
 'w4_xlast'		
